episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.2,42000,50844.0,12734.13140625,596,0.01,4,62250.0,127,340,32,44,12,14,100,15,39
200,0.2,33000,71677.0,11582.76263671875,1175,0.06,7,79490.0,52,359,110,14,12,21,19,14,30
300,0.2,52250,46995.0,11634.730673828126,1748,0.08,9,58990.0,83,275,174,14,21,37,21,19,12
400,0.2,38250,54974.5,13963.641416015626,2337,0.02,3,61310.0,54,317,119,11,12,80,26,9,15
500,0.2,35750,54809.0,13150.115078125,2926,0.01,4,62670.0,76,290,177,15,14,11,16,18,48
600,0.2,94750,45515.0,12659.601826171875,3507,0.04,6,53860.0,72,295,181,17,20,22,14,17,15
700,0.2,38000,47307.0,11577.40431640625,4103,0.11,1,51710.0,46,357,152,15,13,14,21,14,10
800,0.2,58000,69190.5,11903.55623046875,4687,0.08,4,73300.0,12,391,105,13,11,12,9,20,23
900,0.2,74750,58970.0,11555.772866210937,5278,0.0,3,62990.0,12,394,108,17,11,13,10,15,23
1000,0.2,175250,59844.5,11536.950908203125,5873,0.06,2,62980.0,14,381,111,19,17,11,15,22,19
1100,0.2,82000,65707.5,11309.3848828125,6459,0.0,4,69800.0,15,387,89,19,11,34,15,15,16
1200,0.2,60750,73527.5,11490.8477734375,7053,0.0,2,78080.0,31,379,78,12,11,55,8,31,20
1300,0.2,71750,73272.5,11469.2293359375,7643,0.04,4,78940.0,34,359,69,23,10,63,16,36,14
1400,0.2,179000,77709.0,11977.124130859374,8233,0.01,3,83030.0,21,389,74,40,14,18,10,27,18
1500,0.2,76750,62742.5,12339.8332421875,8819,0.0,5,71080.0,49,363,40,90,8,8,25,37,15
1600,0.2,150000,72249.0,12383.19076171875,9401,0.03,5,79690.0,43,364,45,38,15,20,14,65,21
1700,0.2,49000,69249.0,12362.851416015625,9989,0.08,3,75620.0,29,373,50,26,21,11,18,71,18
1800,0.2,-60000,65572.5,12342.4799609375,10564,0.0,7,74890.0,49,328,44,23,23,13,14,108,22
1900,0.2,47000,69241.5,12554.808857421875,11159,0.08,2,75150.0,40,380,50,19,14,13,17,89,13
2000,0.2,122000,74675.0,12772.586328125,11750,0.0,3,80180.0,22,396,59,25,9,12,10,62,18
2100,0.2,62750,84511.0,12840.311220703124,12344,0.05,2,89830.0,23,425,41,13,13,13,10,60,19
2200,0.2,173000,72976.0,13357.411494140624,12941,0.05,2,78150.0,31,378,51,14,15,17,24,87,11
2300,0.2,163000,77956.5,12880.434541015626,13534,0.01,3,83260.0,28,382,60,15,20,17,16,73,10
2400,0.2,59500,60554.0,13277.56640625,14124,0.09,4,69080.0,48,364,39,9,32,13,15,103,15
2500,0.2,152000,61393.5,12963.368369140626,14707,0.14,6,69660.0,42,372,45,10,15,9,23,95,14
2600,0.2,16000,75524.0,13316.203623046875,15303,0.03,1,80880.0,43,392,42,9,17,13,18,95,10
2700,0.2,75750,74706.5,13025.8265234375,15895,0.09,2,80820.0,38,391,42,14,13,23,9,88,12
2800,0.2,82000,73231.5,13121.62361328125,16489,0.01,3,78790.0,25,380,36,16,20,32,14,78,18
2900,0.2,50750,72397.5,13064.6765234375,17069,0.0,6,79790.0,18,396,38,12,19,29,10,54,22
3000,0.2,30000,81559.5,12832.800849609375,17658,0.02,4,86530.0,13,410,43,14,14,35,11,51,11
3100,0.2,59750,74777.5,13355.931708984375,18238,0.0,6,80950.0,11,400,41,13,9,55,11,38,13
3200,0.2,-73500,76644.0,13411.687177734375,18835,0.03,1,80850.0,19,374,44,21,21,37,13,44,43
3300,0.2,165500,62371.5,13646.88544921875,19421,0.04,5,68470.0,24,344,53,17,19,42,27,32,52
3400,0.2,-4250,76500.0,13663.3987109375,20010,0.04,4,81490.0,17,393,47,9,16,41,17,39,27
3500,0.2,103000,78795.0,13574.0391015625,20598,0.0,3,84030.0,20,399,60,7,12,46,11,28,25
3600,0.2,113500,82440.0,13662.006123046875,21194,0.0,1,86400.0,41,374,57,10,18,93,12,19,13
3700,0.2,-59000,67245.0,13499.6003515625,21780,0.04,5,73580.0,37,355,63,22,18,81,18,16,13
3800,0.2,87000,71451.5,13541.0665234375,22373,0.08,4,77850.0,44,370,56,13,13,93,12,20,16
3900,0.2,86750,80267.5,13640.701953125,22971,0.09,1,84290.0,36,336,77,16,21,92,17,17,22
4000,0.2,50750,71582.5,13532.27115234375,23551,0.0,6,78710.0,26,369,69,13,10,65,22,11,21
4100,0.2,27000,77432.5,13791.252421875,24144,0.0,4,82730.0,20,407,73,9,16,32,12,18,26
4200,0.2,110000,87427.5,13665.130185546876,24738,0.04,3,90490.0,11,410,80,15,14,29,12,17,17
4300,0.2,-69000,77687.5,13577.66740234375,25322,0.0,4,82550.0,16,384,77,20,17,27,14,14,31
4400,0.2,41500,75075.0,13711.19005859375,25910,0.0,6,80620.0,13,406,71,15,11,19,18,12,36
4500,0.2,164000,86390.0,13864.658251953126,26501,0.0,3,91120.0,16,424,64,11,22,29,8,10,23
4600,0.2,41250,74837.5,13721.118427734375,27092,0.0,4,80410.0,13,401,73,19,19,17,17,19,26
4700,0.2,54500,77745.0,13538.074560546875,27676,0.0,5,82580.0,11,397,75,12,20,18,35,15,12
4800,0.2,50500,73167.5,13805.80171875,28262,0.0,4,77700.0,19,376,75,18,20,17,46,17,17
4900,0.2,88250,75631.5,13601.013515625,28851,0.07,5,80560.0,20,368,90,13,16,21,31,13,37
5000,0.2,47500,77352.5,13782.176298828124,29446,0.0,3,82250.0,22,400,68,10,16,13,26,14,48
5100,0.2,175750,89654.0,13694.259287109375,30038,0.01,3,93530.0,24,371,79,12,17,14,21,12,66
5200,0.2,105000,75712.5,13666.12009765625,30630,0.05,3,79610.0,20,368,75,21,16,10,31,17,54
5300,0.2,122000,89461.5,13800.753232421876,31219,0.07,3,93900.0,11,399,71,14,14,14,30,14,33
5400,0.2,16500,65195.5,14080.274453125,31809,0.17,3,70740.0,22,361,72,20,17,12,60,19,29
5500,0.2,164500,72621.5,13991.805791015626,32399,0.11,6,79320.0,31,373,63,20,22,11,45,20,36
5600,0.2,5750,76401.5,13997.0024609375,32987,0.03,6,81670.0,10,387,67,23,16,12,31,15,37
5700,0.2,78000,80838.5,13984.67953125,33575,0.05,4,84910.0,17,393,83,10,13,16,35,10,28
5800,0.2,29250,72326.5,13880.04,34166,0.01,5,77410.0,13,394,67,19,15,10,44,23,19
5900,0.2,32000,82705.0,13766.609052734375,34755,0.0,5,87850.0,14,415,68,13,10,11,36,14,22
6000,0.2,58000,85657.0,14041.351259765624,35352,0.02,1,88170.0,22,368,75,17,11,15,49,25,37
6100,0.2,52000,80060.0,14189.910029296874,35952,0.04,0,83710.0,14,401,76,23,15,9,41,13,22
6200,0.2,68000,77354.0,13985.73037109375,36538,0.21,4,82090.0,25,348,75,22,20,20,58,18,25
6300,0.2,58750,75547.5,14000.631083984375,37121,0.0,7,82670.0,17,388,74,21,10,17,35,20,18
6400,0.2,134500,85902.5,13866.49611328125,37717,0.04,2,89610.0,18,369,77,21,9,20,55,21,24
6500,0.2,75750,74712.5,14068.8012890625,38312,0.09,2,78590.0,13,364,82,20,16,36,41,23,13
6600,0.2,3500,77475.0,14176.9465625,38904,0.05,2,82090.0,18,371,75,23,18,16,49,23,17
6700,0.2,70750,70381.5,14120.040888671874,39488,0.03,5,77620.0,15,389,78,26,9,24,34,15,9
6800,0.2,47750,70324.0,14027.03634765625,40075,0.08,4,74560.0,9,316,95,29,11,45,48,25,18
6900,0.2,92000,82702.0,14174.98005859375,40665,0.17,4,87350.0,11,360,84,20,18,31,39,23,15
7000,0.2,171000,70414.5,13861.90453125,41254,0.07,5,77050.0,14,364,79,17,8,57,24,23,17
7100,0.2,11000,74259.0,14230.319970703125,41843,0.04,3,79070.0,15,361,73,38,17,35,25,19,21
7200,0.2,6000,74827.5,14299.62845703125,42430,0.0,4,79860.0,11,370,84,22,18,42,15,15,21
7300,0.2,45500,84660.5,14390.300625,43030,0.04,0,87310.0,17,359,91,10,19,62,20,21,18
7400,0.2,52750,78884.5,14260.6587109375,43620,0.02,4,83710.0,12,342,88,19,13,63,22,28,15
7500,0.2,127000,76676.5,14180.5418359375,44194,0.03,7,83510.0,21,340,77,17,17,73,9,26,15
7600,0.2,65500,85247.5,14068.839580078125,44794,0.0,1,88290.0,13,357,86,19,13,60,12,33,20
7700,0.2,67000,75132.5,14145.567890625,45393,0.04,2,79670.0,24,352,88,15,14,63,14,34,19
7800,0.2,152000,82217.5,14078.06208984375,45987,0.0,4,86140.0,10,362,86,9,13,57,12,36,19
7900,0.2,64250,79234.5,14278.97810546875,46581,0.07,2,83980.0,20,349,81,19,19,67,13,34,12
8000,0.2,94500,79854.5,14059.5387890625,47176,0.15,2,84270.0,17,333,93,22,11,67,7,44,18
8100,0.2,175750,87949.5,14244.433369140625,47770,0.02,4,91830.0,10,356,86,16,18,55,12,28,23
8200,0.2,60250,71957.5,14342.01099609375,48354,0.0,4,77660.0,23,318,95,21,10,80,18,29,13
8300,0.2,22500,65528.5,14295.937861328124,48936,0.11,6,72180.0,20,314,92,18,12,70,15,41,20
8400,0.2,56500,74754.0,14084.293974609374,49534,0.03,2,79160.0,20,320,96,20,17,78,10,39,18
8500,0.2,199000,75344.5,14118.1467578125,50125,0.12,3,79800.0,18,309,90,15,14,75,15,52,21
8600,0.2,152000,73834.0,14231.957119140625,50717,0.01,4,78530.0,8,348,84,15,20,60,15,33,17
8700,0.2,17750,83046.0,14220.148896484376,51307,0.09,3,87970.0,14,366,81,14,15,64,8,24,18
8800,0.2,82250,90227.5,14257.988896484376,51903,0.04,1,93000.0,13,360,84,13,11,60,26,22,20
