episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-54500,27727.5,12622.836240234376,569,0.0,20,39420.0,13,408,23,24,27,21,18,23,25
200,0.9995798888888889,122000,35832.5,11975.4262890625,1144,0.0,13,44550.0,11,407,20,19,27,29,20,24,29
300,0.9993687777777778,35000,27380.0,10739.260854492188,1718,0.0,19,38050.0,6,413,20,20,28,17,27,25,24
400,0.9991576666666667,51000,25270.0,13374.721982421876,2294,0.0,12,33560.0,7,412,30,21,32,18,19,22,22
500,0.9989465555555556,26000,33505.0,12442.11076171875,2865,0.0,18,43620.0,5,408,21,19,26,26,20,20,31
600,0.9987354444444444,25750,38440.0,12441.211884765626,3452,0.0,11,46410.0,15,418,25,27,18,23,18,20,38
700,0.9985243333333333,0,31487.5,12884.460244140624,4028,0.0,14,39850.0,10,411,31,23,17,26,25,19,24
800,0.9983132222222222,132750,27995.0,12984.161201171875,4611,0.0,14,37110.0,6,426,24,19,29,29,16,25,15
900,0.9981021111111111,131000,26350.0,13008.952919921874,5175,0.0,16,37440.0,14,412,23,20,19,18,23,27,22
1000,0.997891,4750,25557.5,12947.776318359374,5749,0.0,17,36930.0,8,418,27,20,24,21,18,17,29
1100,0.9976798888888889,14500,22260.0,12896.04189453125,6318,0.0,19,33410.0,7,415,19,21,24,30,24,16,20
1200,0.9974687777777778,-4000,25627.5,12829.07984375,6894,0.0,12,34190.0,9,414,23,30,21,28,24,15,21
1300,0.9972576666666667,51500,29820.0,12966.91470703125,7472,0.0,16,38750.0,6,409,35,14,25,30,22,24,19
1400,0.9970465555555555,-9000,32322.5,12733.09615234375,8052,0.0,12,40030.0,11,410,23,31,22,26,27,23,18
1500,0.9968354444444445,139500,27077.5,12988.991591796876,8635,0.0,15,36080.0,14,407,23,15,26,27,27,27,31
